alpha,phi,h
0.000950,899.792460,90.160640
0.000420,899.782890,90.190970
0.000460,899.765050,90.202920
0.000340,899.708720,90.212300
0.000980,899.804360,90.159300
0.000900,899.840550,90.216680
0.000610,899.705670,90.247120
0.000600,899.718120,90.219020
0.000650,899.708810,90.244900
0.000880,899.775750,90.246130
0.000430,899.788420,90.206110
0.000380,899.855570,90.214220
0.000310,899.766810,90.227440
0.000840,899.889050,90.201130
0.000480,899.862510,90.226380
0.000910,899.749120,90.161910
0.000790,899.822330,90.200160
0.000930,899.708600,90.248890
0.000650,899.819450,90.211990
0.000330,899.735980,90.239200
0.000620,899.824170,90.180500
0.000960,899.876610,90.174300
0.000840,899.875260,90.162050
0.000770,899.805210,90.249540
0.000570,899.817740,90.225870
0.000420,899.757640,90.171940
0.000930,899.721690,90.245250
0.000800,899.859700,90.151590
0.000570,899.893580,90.224030
0.000560,899.705040,90.191460
0.000550,899.773460,90.185680
0.000580,899.838530,90.207270
0.000890,899.841170,90.221850
0.000880,899.856300,90.185080
0.000480,899.844510,90.173640
0.000600,899.778450,90.215550
0.000550,899.721100,90.220110
0.000380,899.723200,90.220820
0.000670,899.726980,90.174710
0.000450,899.778560,90.248720
0.000370,899.761180,90.180590
0.000410,899.768490,90.220940
0.000320,899.859990,90.245280
0.000480,899.761730,90.240110
0.000390,899.765700,90.238740
0.000740,899.816070,90.151330
0.000650,899.744950,90.229040
0.000880,899.810460,90.227900
0.000830,899.804720,90.218940
0.000480,899.761210,90.225530
0.000350,899.736840,90.177440
0.000390,899.735210,90.234900
0.000840,899.776040,90.246570
0.000760,899.852020,90.246100
0.000360,899.801120,90.181130
0.000360,899.811120,90.233660
0.000680,899.844740,90.189140
0.000710,899.811750,90.229040
0.000430,899.816560,90.158370
0.000630,899.866150,90.248930
0.000430,899.829210,90.190490
0.000770,899.888520,90.205070
0.000730,899.800140,90.230760
0.000660,899.704850,90.220400
0.000310,899.827690,90.158220
0.000670,899.841130,90.184730
0.000350,899.838120,90.161760
0.000350,899.854330,90.190900
0.000870,899.886070,90.248020
0.000300,899.828340,90.185650
0.000520,899.878520,90.176850
0.000710,899.744410,90.201510
0.000980,899.750430,90.160580
0.000770,899.808490,90.218160
0.000330,899.830700,90.153170
0.000500,899.760380,90.221350
0.000780,899.717700,90.150380
0.000560,899.816930,90.193240
0.000420,899.837550,90.223220
0.000670,899.736720,90.217280
0.000690,899.796920,90.182160
0.000740,899.798540,90.230650
0.000710,899.752110,90.229500
0.000370,899.771820,90.178770
0.000690,899.731420,90.202990
0.000600,899.827200,90.202210
0.000560,899.850340,90.170690
0.000740,899.778250,90.194300
0.000860,899.837520,90.222520
0.000820,899.881020,90.190270
0.000320,899.808170,90.211270
0.000380,899.730200,90.246620
0.000910,899.701210,90.180000
0.000510,899.728710,90.168980
0.000700,899.724300,90.195440
0.000930,899.733840,90.152620
0.000990,899.760010,90.187080
0.000990,899.894560,90.161490
0.000480,899.757560,90.213020
0.000770,899.735590,90.221750
0.000850,899.871210,90.156590
0.000730,899.779050,90.195070
0.000660,899.724010,90.163480
0.000580,899.737700,90.239610
0.000450,899.801130,90.151690
0.000370,899.729000,90.169180
0.000600,899.750750,90.240150
0.000870,899.724520,90.193040
0.000990,899.712260,90.243480
0.000750,899.890690,90.173950
0.000620,899.753940,90.244580
0.000570,899.744140,90.245990
0.000620,899.797040,90.154750
0.000990,899.842030,90.212110
0.000830,899.742990,90.222000
0.000620,899.704410,90.210000
0.000640,899.768240,90.247360
0.000680,899.757750,90.163290
0.000940,899.841850,90.163370
0.000450,899.891270,90.183350
0.000320,899.701650,90.184280
0.000790,899.787870,90.177620
0.000880,899.780020,90.190840
0.000710,899.860040,90.173590
0.000420,899.767750,90.248130
0.000660,899.810520,90.185690
0.000730,899.837860,90.163560
0.000760,899.841570,90.179270
0.000780,899.813470,90.192660
0.000780,899.768010,90.206130
0.001000,899.824440,90.187400
0.000570,899.743470,90.233620
0.000910,899.770990,90.161410
0.000550,899.898690,90.197000
0.000540,899.738880,90.176080
0.000440,899.780750,90.214250
0.000330,899.803720,90.231380
0.000620,899.888000,90.178120
0.000540,899.801220,90.240070
0.000820,899.882750,90.209160
0.000350,899.844010,90.169210
0.000540,899.756940,90.247190
0.000840,899.849870,90.151630
0.000450,899.708220,90.231540
0.000920,899.891360,90.192050
0.000400,899.810270,90.244410
0.000410,899.838730,90.228320
0.000340,899.757860,90.159950
0.000720,899.862440,90.185160
0.000840,899.839430,90.230880
0.000630,899.780820,90.227740
0.000590,899.800500,90.215150
0.000420,899.752200,90.218380
0.000720,899.731080,90.216900
0.000710,899.724370,90.192230
0.000650,899.794030,90.176480
0.000450,899.792530,90.160280
0.000820,899.782530,90.178920
0.000420,899.783480,90.168610
0.000890,899.872010,90.155150
0.000390,899.824480,90.170380
0.000670,899.858410,90.208730
0.000750,899.854770,90.224040
0.000960,899.853950,90.231440
0.000500,899.766470,90.204250
0.000330,899.847980,90.227880
0.000430,899.802960,90.177360
0.000850,899.801680,90.165490
0.000330,899.864470,90.166420
0.000880,899.708290,90.248820
0.000560,899.885680,90.181570
0.000860,899.815140,90.206370
0.000530,899.728010,90.169730
0.000570,899.806640,90.225320
0.000540,899.759590,90.249070
0.000590,899.800710,90.190480
0.000920,899.775100,90.153240
0.000550,899.882310,90.193050
0.000960,899.862010,90.199820
0.000800,899.744980,90.227320
0.000710,899.809940,90.242310
0.000600,899.751720,90.197900
0.000390,899.720230,90.168170
0.000450,899.785030,90.236070
0.000880,899.823360,90.180840
0.000880,899.838580,90.245340
0.000650,899.721280,90.185750
0.000440,899.849980,90.198120
0.000720,899.748260,90.242680
0.000690,899.737490,90.218870
0.000320,899.837370,90.197610
0.000740,899.869840,90.212600
0.000530,899.820500,90.216380
0.000830,899.788650,90.229560
0.000740,899.723350,90.162160
0.000570,899.815890,90.225150
0.000670,899.827550,90.156810
0.000610,899.746620,90.158510
0.000630,899.748910,90.213170
0.000460,899.823230,90.153090
0.000700,899.729490,90.165720
0.000810,899.853290,90.233300
0.000940,899.851580,90.153830
0.000910,899.728450,90.157740
0.000770,899.728030,90.221620
0.000410,899.760110,90.212020
0.000940,899.897690,90.236300
0.000490,899.836420,90.235920
0.000420,899.721890,90.160810
0.000510,899.769290,90.180910
0.000720,899.816850,90.191270
0.000610,899.789330,90.170590
0.000620,899.811750,90.156150
0.000490,899.835730,90.229590
0.000420,899.709030,90.166290
0.000300,899.747880,90.187860
0.000440,899.856790,90.180530
0.000350,899.733140,90.190000
0.000580,899.801310,90.152080
0.000390,899.710790,90.240610
0.000940,899.823600,90.242560
0.000830,899.732910,90.247890
0.000780,899.711380,90.153790
0.000480,899.734110,90.218380
0.000380,899.744390,90.233780
0.000560,899.823780,90.201290
0.000760,899.818120,90.187550
0.000310,899.726590,90.240460
0.000880,899.719170,90.232870
0.000470,899.753340,90.236860
0.000510,899.749690,90.163350
0.000380,899.720450,90.194620
0.000790,899.706920,90.238590
0.000650,899.702800,90.209340
0.000800,899.764800,90.223160
0.000460,899.839180,90.236740
0.000580,899.752200,90.170680
0.000690,899.813350,90.163530
0.000600,899.855840,90.190070
0.000850,899.842930,90.227580
0.000590,899.753390,90.166730
